sentence1,sentence2,similarity
מה אתה יודע לעשות?,מה הפעולות שאתה יודע לעשות?,positive
מה את יודעת לעשות?,מה הפעולות שאתה יודע לעשות?,positive
מה הפעולות שאתה יודע לעשות?,מה הפעולות שאתה יודע לעשות?,positive
מה הפעולות שאת יודעת לעשות?,מה הפעולות שאתה יודע לעשות?,positive
מה אתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?,positive
מה את יודעת לבצע?,מה הפעולות שאתה יודע לעשות?,positive
מה הפעולות שאתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?,positive
מה הפעולות שאת יודעת לבצע?,מה הפעולות שאתה יודע לעשות?,positive
איזה פעולות אתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?,positive
איזה פעולות את יודעת לבצע?,מה הפעולות שאתה יודע לעשות?,positive
איזו פעולות אתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?,positive
איזו פעולות את יודעת לבצע?,מה הפעולות שאתה יודע לעשות?,positive
מה הפעולות שאתה תומך בהן?,מה הפעולות שאתה יודע לעשות?,positive
מה הפעולות שאת תומכת בהן?,מה הפעולות שאתה יודע לעשות?,positive
איזה פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?,positive
איזו פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?,positive
מה הביצועים שאתה תומך בהן?,מה הפעולות שאתה יודע לעשות?,positive
מה הביצועים שאת תומכת בהן?,מה הפעולות שאתה יודע לעשות?,positive
איזה ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?,positive
איזו ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?,positive
תגיד לי מה אתה יודע לעשות,מה הפעולות שאתה יודע לעשות?,positive
תגידי לי מה את יודעת לעשות,מה הפעולות שאתה יודע לעשות?,positive
תגיד לי מה הפעולות שאתה יודע לעשות?,מה הפעולות שאתה יודע לעשות?,positive
תגידי לי מה הפעולות שאת יודעת לעשות?,מה הפעולות שאתה יודע לעשות?,positive
